,Platform Info
0,['iOS (iPhone/iPad)']
1,['Xbox']
2,['PlayStation 2']
3,['PC']
4,['PC']
5,['Wii']
6,['PSP']
7,['PlayStation 4']
8,['PC']
9,['PC']
10,['iOS (iPhone/iPad)']
11,['PC']
12,['PC']
13,['PlayStation 2']
14,['PC']
15,['GameCube']
16,['PC']
17,['iOS (iPhone/iPad)']
18,['PC']
19,['PSP']
20,['PlayStation 2']
21,['Xbox']
22,['PC']
23,['PlayStation 2']
24,['Nintendo Switch']
25,['PlayStation Vita']
26,['PlayStation 4']
27,['PlayStation 5']
28,['PlayStation 3']
29,['Xbox One']
30,['PlayStation 3']
31,['PC']
32,['3DS']
34,['Xbox 360']
35,['PC']
36,['PSP']
37,['PC']
38,['PC']
39,['PlayStation 4']
40,['PlayStation 4']
41,['iOS (iPhone/iPad)']
42,['PC']
43,['PC']
44,['PC']
45,['Nintendo Switch']
46,['Xbox One']
47,['iOS (iPhone/iPad)']
48,['Xbox']
49,['iOS (iPhone/iPad)']
50,['Wii']
51,['Xbox 360']
52,['DS']
53,['Xbox']
55,['PlayStation 2']
56,['PC']
57,['Nintendo Switch']
58,['PC']
59,['PC']
60,['PlayStation 4']
61,['PlayStation 2']
62,['PC']
63,['PC']
64,['Nintendo Switch']
65,['PC']
66,['PC']
67,['PlayStation 2']
68,['Nintendo Switch']
69,['PC']
70,['Nintendo Switch']
71,['PlayStation 2']
72,['PC']
73,['3DS']
74,['Xbox One']
75,['PC']
76,['PC']
77,['PlayStation 3']
78,['PC']
79,['Xbox']
80,['Xbox']
81,['iOS (iPhone/iPad)']
82,['Xbox One']
83,['PC']
84,['PC']
85,['PC']
86,['PSP']
87,['Nintendo Switch']
88,['PC']
89,['Nintendo Switch']
90,['Xbox']
91,['PC']
92,['PC']
93,['3DS']
94,['Game Boy Advance']
95,['PC']
96,['Xbox 360']
97,['PlayStation 5']
98,['PC']
99,['Nintendo Switch']
100,['PC']
101,['Xbox 360']
102,['DS']
103,['PC']
104,['Nintendo Switch']
105,['PC']
106,['PlayStation 2']
107,['PlayStation']
108,['Xbox 360']
109,['Xbox 360']
110,['PC']
111,['Xbox 360']
112,['Xbox 360']
113,['Xbox One']
114,['Xbox One']
115,['Nintendo Switch']
116,['Nintendo Switch']
117,['PC']
118,['PSP']
119,['PC']
120,['Game Boy Advance']
121,['PlayStation 2']
122,['PlayStation 3']
124,['DS']
125,['Nintendo Switch']
126,['iOS (iPhone/iPad)']
127,['PlayStation 2']
128,['Xbox 360']
129,['PC']
130,['PC']
131,['Xbox One']
132,['PSP']
133,['Xbox 360']
134,['PC']
135,['Xbox 360']
136,['PlayStation 4']
137,['iOS (iPhone/iPad)']
138,['PC']
139,['iOS (iPhone/iPad)']
140,['PC']
141,['PlayStation 2']
142,['iOS (iPhone/iPad)']
143,['PC']
144,['iOS (iPhone/iPad)']
145,['PlayStation 4']
146,['Wii']
147,['PC']
148,['Xbox 360']
149,['Xbox One']
150,['PlayStation 4']
151,['DS']
152,['DS']
153,['Nintendo 64']
154,['PC']
155,['PC']
156,['Xbox 360']
157,['PlayStation 4']
158,['PC']
159,['Nintendo Switch']
160,['PlayStation 2']
161,['PC']
162,['PC']
163,['iOS (iPhone/iPad)']
164,['3DS']
165,['3DS']
166,['PlayStation 3']
167,['PlayStation 3']
168,['Wii']
169,['PlayStation']
170,['PC']
171,['PC']
172,['PC']
173,['3DS']
174,['Xbox 360']
175,['PlayStation 3']
176,['PC']
177,['PC']
178,['Nintendo 64']
179,['PC']
180,['PlayStation 5']
181,['PlayStation 4']
182,['Nintendo Switch']
183,['Xbox One']
